序号,raw_name,standard_name,brand,brand_cn,model_canonical,model_display,model_aliases,reference_price,price_note,knowledge_record_id,knowledge_name,match_status,price_alignment,auto_sync_to_kb,review_required,review_reason,action
22,ASTROX 88S PRO BP 88SPROBP 天斧88SPROBP 88SPRO日本限定,YONEX ASTROX 88S PRO,YONEX,尤尼克斯,ASTROX 88S PRO,YONEX ASTROX 88S PRO,ASTROX 88S PRO BP 88SPROBP 天斧88SPROBP 88SPRO日本限定；YONEX ASTROX 88S PRO；ASTROX88S；BP88SPROBP；天斧,1850,参考价，非实时成交价；本系统不做交易、库存或下单判断,YONEX-ASTROX-88S-PRO,YONEX ASTROX 88S PRO,低置信对应-需人工确认,已对应（在知识库价格范围内）,NO,YES,非精确对应，保留人工复核,已标准化商品名；知识库价格不同步，需人工确认
23,ASTROX 88S TOUR BP 3AX88STOURBP 88STOURBP,YONEX ASTROX 88S TOUR,YONEX,尤尼克斯,ASTROX 88S TOUR,YONEX ASTROX 88S TOUR,ASTROX 88S TOUR BP 3AX88STOURBP 88STOURBP；YONEX ASTROX 88S TOUR；ASTROX88S；BP3AX88STOURBP,980,参考价，非实时成交价；本系统不做交易、库存或下单判断,YONEX-ASTROX-88S-TOUR,YONEX ASTROX 88S TOUR,低置信对应-需人工确认,已对应（在知识库价格范围内）,NO,YES,非精确对应，保留人工复核,已标准化商品名；知识库价格不同步，需人工确认
24,ASTROX 99,YONEX ASTROX 99,YONEX,尤尼克斯,ASTROX 99,YONEX ASTROX 99,ASTROX 99；YONEX ASTROX 99；ASTROX99,1680,参考价，非实时成交价；本系统不做交易、库存或下单判断,YONEX-ASTROX-99,YONEX ASTROX 99,精确对应,已对应（在知识库价格范围内）,YES,NO,安全自动同步,已自动标准化；参考价同步到知识库
25,ASTROX ZERO AX,YONEX ASTROX,YONEX,尤尼克斯,ASTROX,YONEX ASTROX,ASTROX ZERO AX；YONEX ASTROX ZERO,399,参考价，非实时成交价；本系统不做交易、库存或下单判断,YONEX-ASTROX-ZERO,YONEX ASTROX ZERO,歧义，需要人工确认,已对应,NO,YES,非精确对应，保留人工复核,已标准化商品名；知识库价格不同步，需人工确认
26,ASTROX 小灰切 ASTROX1小灰切 AX1小灰切 天斧小灰切,YONEX ASTROX,YONEX,尤尼克斯,ASTROX,YONEX ASTROX,ASTROX 小灰切 ASTROX1小灰切 AX1小灰切 天斧小灰切；YONEX ASTROX；天斧,350,参考价，非实时成交价；本系统不做交易、库存或下单判断,YONEX-ASTROX,YONEX ASTROX,精确对应,已对应（在知识库价格范围内）,NO,YES,疑似匹配到系列/泛型号，需人工确认,已标准化商品名；知识库价格不同步，需人工确认
27,Aerotus,YONEX AEROTUS,YONEX,尤尼克斯,AEROTUS,YONEX AEROTUS,Aerotus；YONEX AEROTUS,380,参考价，非实时成交价；本系统不做交易、库存或下单判断,YONEX-AEROTUS,YONEX AEROTUS,精确对应,已对应,YES,NO,安全自动同步,已自动标准化；参考价同步到知识库
28,B4000 B,YONEX B4000 B,YONEX,尤尼克斯,B4000 B,YONEX B4000 B,B4000 B；YONEX B4000 B；B4000,220,参考价，非实时成交价；本系统不做交易、库存或下单判断,YONEX-B4000-B,YONEX B4000 B,精确对应,已对应,YES,NO,安全自动同步,已自动标准化；参考价同步到知识库
29,B4000新色 B4000G,YONEX B4000新色 B4000G,YONEX,尤尼克斯,B4000新色 B4000G,YONEX B4000新色 B4000G,B4000新色 B4000G；YONEX B4000新色 B4000G；B4000G,220,参考价，非实时成交价；本系统不做交易、库存或下单判断,YONEX-B4000-B4000G,YONEX B4000新色 B4000G,精确对应,已对应,YES,NO,安全自动同步,已自动标准化；参考价同步到知识库
30,CARBONEX 8000 TI,YONEX CARBONEX 8000TI,YONEX,尤尼克斯,CARBONEX 8000TI,YONEX CARBONEX 8000TI,CARBONEX 8000 TI；YONEX CARBONEX 8000TI；CARBONEX8000,580,参考价，非实时成交价；本系统不做交易、库存或下单判断,YONEX-CARBONEX-8000TI,YONEX CARBONEX 8000TI,精确对应,已对应,YES,NO,安全自动同步,已自动标准化；参考价同步到知识库
31,Carbonex 23 CAB23,YONEX CARBONEX 23,YONEX,尤尼克斯,CARBONEX 23,YONEX CARBONEX 23,Carbonex 23 CAB23；YONEX CARBONEX 23；CARBONEX23；CAB23,280,参考价，非实时成交价；本系统不做交易、库存或下单判断,YONEX-CARBONEX-23,YONEX CARBONEX 23,模糊对应-建议人工确认,已对应,NO,YES,非精确对应，保留人工复核,已标准化商品名；知识库价格不同步，需人工确认
32,GR,YONEX GR,YONEX,尤尼克斯,GR,YONEX GR,GR；YONEX GR,200,参考价，非实时成交价；本系统不做交易、库存或下单判断,YONEX-GR,YONEX GR,精确对应,已对应,YES,NO,安全自动同步,已自动标准化；参考价同步到知识库
33,GR360,YONEX GR360,YONEX,尤尼克斯,GR360,YONEX GR360,GR360；YONEX GR360,200,参考价，非实时成交价；本系统不做交易、库存或下单判断,YONEX-GR360,YONEX GR360,精确对应,已对应,YES,NO,安全自动同步,已自动标准化；参考价同步到知识库
34,Graphlex 020 GR,YONEX GRAPHLEX 020 GR,YONEX,尤尼克斯,GRAPHLEX 020 GR,YONEX GRAPHLEX 020 GR,Graphlex 020 GR；YONEX GRAPHLEX 020 GR；GRAPHLEX020,200,参考价，非实时成交价；本系统不做交易、库存或下单判断,YONEX-GRAPHLEX-020-GR,YONEX GRAPHLEX 020 GR,精确对应,已对应,YES,NO,安全自动同步,已自动标准化；参考价同步到知识库
35,Isometric Alpha ISOα ISOAlpha,YONEX ISOMETRIC ALPHA,YONEX,尤尼克斯,ISOMETRIC ALPHA,YONEX ISOMETRIC ALPHA,Isometric Alpha ISOα ISOAlpha；YONEX ISOMETRIC ALPHA,350,参考价，非实时成交价；本系统不做交易、库存或下单判断,YONEX-ISOMETRIC-ALPHA,YONEX ISOMETRIC ALPHA,精确对应,已对应,YES,NO,安全自动同步,已自动标准化；参考价同步到知识库
36,MUSCLE POWER 2JR MP2JR,YONEX MUSCLE POWER 2 JR,YONEX,尤尼克斯,MUSCLE POWER 2 JR,YONEX MUSCLE POWER 2 JR,MUSCLE POWER 2JR MP2JR；YONEX MUSCLE POWER 2 JR；POWER2JR；MP2JR,180,参考价，非实时成交价；本系统不做交易、库存或下单判断,YONEX-MUSCLE-POWER-2-JR,YONEX MUSCLE POWER 2 JR,模糊对应-建议人工确认,已对应,NO,YES,非精确对应，保留人工复核,已标准化商品名；知识库价格不同步，需人工确认
37,NANOFLARE 1000Z,YONEX NANOFLARE 1000Z,YONEX,尤尼克斯,NANOFLARE 1000Z,YONEX NANOFLARE 1000Z,NANOFLARE 1000Z；YONEX NANOFLARE 1000Z,1930,参考价，非实时成交价；本系统不做交易、库存或下单判断,YONEX-NANOFLARE-1000Z,YONEX NANOFLARE 1000Z,精确对应,已对应,YES,NO,安全自动同步,已自动标准化；参考价同步到知识库
38,NANOFLARE 800 PRO,YONEX NANOFLARE 800 PRO,YONEX,尤尼克斯,NANOFLARE 800 PRO,YONEX NANOFLARE 800 PRO,NANOFLARE 800 PRO；YONEX NANOFLARE 800 PRO,1780,参考价，非实时成交价；本系统不做交易、库存或下单判断,YONEX-NANOFLARE-800-PRO,YONEX NANOFLARE 800 PRO,精确对应,已对应（在知识库价格范围内）,YES,NO,安全自动同步,已自动标准化；参考价同步到知识库
39,NANORAY D33 锐速D33 NR,YONEX NANORAY D33,YONEX,尤尼克斯,NANORAY D33,YONEX NANORAY D33,NANORAY D33 锐速D33 NR；YONEX NANORAY D33；D33；锐速,380,参考价，非实时成交价；本系统不做交易、库存或下单判断,YONEX-NANORAY-D33,YONEX NANORAY D33,精确对应,已对应,YES,NO,安全自动同步,已自动标准化；参考价同步到知识库
40,VOLTRIC D36 威力D36 VTD36 VT,YONEX VOLTRIC D36,YONEX,尤尼克斯,VOLTRIC D36,YONEX VOLTRIC D36,VOLTRIC D36 威力D36 VTD36 VT；YONEX VOLTRIC D36；D36；VTD36,550,参考价，非实时成交价；本系统不做交易、库存或下单判断,YONEX-VOLTRIC-D36,YONEX VOLTRIC D36,精确对应,已对应,YES,NO,安全自动同步,已自动标准化；参考价同步到知识库
41,VT,YONEX VT,YONEX,尤尼克斯,VT,YONEX VT,VT；YONEX VT,245,参考价，非实时成交价；本系统不做交易、库存或下单判断,YONEX-VT,YONEX VT,精确对应,已对应,YES,NO,安全自动同步,已自动标准化；参考价同步到知识库
42,天斧100zx 台湾清晨杯限定 天斧100ZX台湾清晨杯限定 ASTROX100 AX100ZX台湾清晨杯限定,YONEX ASTROX 100ZX,YONEX,尤尼克斯,ASTROX 100ZX,YONEX ASTROX 100ZX,天斧100zx 台湾清晨杯限定 天斧100ZX台湾清晨杯限定 ASTROX100 AX100ZX台湾清晨杯限定；YONEX ASTROX 100ZX；ASTROX100；天斧,1080,参考价，非实时成交价；本系统不做交易、库存或下单判断,YONEX-ASTROX-100ZX,YONEX ASTROX 100ZX,精确对应,已对应（在知识库价格范围内）,YES,NO,安全自动同步,已自动标准化；参考价同步到知识库
43,天斧ET AXETCR 天斧金切,YONEX ASTROX,YONEX,尤尼克斯,ASTROX,YONEX ASTROX,天斧ET AXETCR 天斧金切；YONEX ASTROX ET；天斧,350,参考价，非实时成交价；本系统不做交易、库存或下单判断,YONEX-ASTROX-ET,YONEX ASTROX ET,歧义，需要人工确认,已对应,NO,YES,非精确对应，保留人工复核,已标准化商品名；知识库价格不同步，需人工确认
44,AEROTUS 66 AR66 AR系列,YONEX AEROTUS 66,YONEX,尤尼克斯,AEROTUS 66,YONEX AEROTUS 66,AEROTUS 66 AR66 AR系列；YONEX AEROTUS 66；AEROTUS66；AR66,400,参考价，非实时成交价；本系统不做交易、库存或下单判断,YONEX-AEROTUS-66,YONEX AEROTUS 66,模糊对应-建议人工确认,已对应,NO,YES,非精确对应，保留人工复核,已标准化商品名；知识库价格不同步，需人工确认
45,AEROTUS 88 AR,YONEX AEROTUS 88,YONEX,尤尼克斯,AEROTUS 88,YONEX AEROTUS 88,AEROTUS 88 AR；YONEX AEROTUS 88；AEROTUS88,480,参考价，非实时成交价；本系统不做交易、库存或下单判断,YONEX-AEROTUS-88,YONEX AEROTUS 88,精确对应,已对应,YES,NO,安全自动同步,已自动标准化；参考价同步到知识库
46,AEROTUS110 AR,YONEX AEROTUS 110,YONEX,尤尼克斯,AEROTUS 110,YONEX AEROTUS 110,AEROTUS110 AR；YONEX AEROTUS 110；AEROTUS110,550,参考价，非实时成交价；本系统不做交易、库存或下单判断,YONEX-AEROTUS-110,YONEX AEROTUS 110,精确对应,已对应,YES,NO,安全自动同步,已自动标准化；参考价同步到知识库
47,Aerotus 100 AR100 AR,YONEX AEROTUS 100,YONEX,尤尼克斯,AEROTUS 100,YONEX AEROTUS 100,Aerotus 100 AR100 AR；YONEX AEROTUS 100；AEROTUS100；AR100,550,参考价，非实时成交价；本系统不做交易、库存或下单判断,YONEX-AEROTUS-100,YONEX AEROTUS 100,精确对应,已对应,YES,NO,安全自动同步,已自动标准化；参考价同步到知识库
48,Aerotus 44 Aerotus,YONEX AEROTUS 44,YONEX,尤尼克斯,AEROTUS 44,YONEX AEROTUS 44,Aerotus 44 Aerotus；YONEX AEROTUS 44；AEROTUS44,320,参考价，非实时成交价；本系统不做交易、库存或下单判断,YONEX-AEROTUS-44,YONEX AEROTUS 44,精确对应,已对应,YES,NO,安全自动同步,已自动标准化；参考价同步到知识库
49,Aerotus 70 AR70 AR,YONEX AEROTUS 70,YONEX,尤尼克斯,AEROTUS 70,YONEX AEROTUS 70,Aerotus 70 AR70 AR；YONEX AEROTUS 70；AEROTUS70；AR70,400,参考价，非实时成交价；本系统不做交易、库存或下单判断,YONEX-AEROTUS-70,YONEX AEROTUS 70,精确对应,已对应,YES,NO,安全自动同步,已自动标准化；参考价同步到知识库
50,Aerotus 77 AR77 AR系列,YONEX AEROTUS 77,YONEX,尤尼克斯,AEROTUS 77,YONEX AEROTUS 77,Aerotus 77 AR77 AR系列；YONEX AEROTUS 77；AEROTUS77；AR77,400,参考价，非实时成交价；本系统不做交易、库存或下单判断,YONEX-AEROTUS-77,YONEX AEROTUS 77,模糊对应-建议人工确认,已对应,NO,YES,非精确对应，保留人工复核,已标准化商品名；知识库价格不同步，需人工确认
51,Aerotus 80 AR,YONEX AEROTUS 80 WIDEBODY,YONEX,尤尼克斯,AEROTUS 80 WIDEBODY,YONEX AEROTUS 80 WIDEBODY,Aerotus 80 AR；YONEX AEROTUS 80 WIDEBODY；AEROTUS80,480,参考价，非实时成交价；本系统不做交易、库存或下单判断,YONEX-AEROTUS-80,YONEX AEROTUS 80 WIDEBODY,模糊对应-建议人工确认,已对应,NO,YES,非精确对应，保留人工复核,已标准化商品名；知识库价格不同步，需人工确认
52,Aerotus 90 PRO AR,YONEX AEROTUS 90 PRO,YONEX,尤尼克斯,AEROTUS 90 PRO,YONEX AEROTUS 90 PRO,Aerotus 90 PRO AR；YONEX AEROTUS 90 PRO；AEROTUS90,480,参考价，非实时成交价；本系统不做交易、库存或下单判断,YONEX-AEROTUS-90-PRO,YONEX AEROTUS 90 PRO,精确对应,已对应,YES,NO,安全自动同步,已自动标准化；参考价同步到知识库
53,ARMORTEC 150 AT150 AT系列,YONEX ARMORTEC 150,YONEX,尤尼克斯,ARMORTEC 150,YONEX ARMORTEC 150,ARMORTEC 150 AT150 AT系列；YONEX ARMORTEC 150；ARMORTEC150；AT150,550,参考价，非实时成交价；本系统不做交易、库存或下单判断,YONEX-ARMORTEC-150,YONEX ARMORTEC 150,模糊对应-建议人工确认,已对应,NO,YES,非精确对应，保留人工复核,已标准化商品名；知识库价格不同步，需人工确认
54,ARMORTEC 250 AT250 AT系列,YONEX ARMORTEC 250,YONEX,尤尼克斯,ARMORTEC 250,YONEX ARMORTEC 250,ARMORTEC 250 AT250 AT系列；YONEX ARMORTEC 250；ARMORTEC250；AT250,650,参考价，非实时成交价；本系统不做交易、库存或下单判断,YONEX-ARMORTEC-250,YONEX ARMORTEC 250,精确对应,已对应,YES,NO,安全自动同步,已自动标准化；参考价同步到知识库
55,ARMORTEC 250LTD AT250LTD AT系列,ARMORTEC250 AT250 AT,UNKNOWN,,ARMORTEC250 AT250 AT,ARMORTEC250 AT250 AT,ARMORTEC 250LTD AT250LTD AT系列；YONEX ARMORTEC 250LTD；ARMORTEC250LTD；AT250LTD,650,参考价，非实时成交价；本系统不做交易、库存或下单判断,YONEX-ARMORTEC-250LTD,YONEX ARMORTEC 250LTD,歧义，需要人工确认,已对应,NO,YES,非精确对应，保留人工复核,已标准化商品名；知识库价格不同步，需人工确认
56,ARMORTEC 30 AT30 AT,YONEX ARMORTEC 30,YONEX,尤尼克斯,ARMORTEC 30,YONEX ARMORTEC 30,ARMORTEC 30 AT30 AT；YONEX ARMORTEC 30；ARMORTEC30；AT30,500,参考价，非实时成交价；本系统不做交易、库存或下单判断,YONEX-ARMORTEC-30,YONEX ARMORTEC 30,模糊对应-建议人工确认,已对应,NO,YES,非精确对应，保留人工复核,已标准化商品名；知识库价格不同步，需人工确认
57,ARMORTEC 30 MEGA AT30MEGA AT系列,YONEX ARMORTEC 30,YONEX,尤尼克斯,ARMORTEC 30,YONEX ARMORTEC 30,ARMORTEC 30 MEGA AT30MEGA AT系列；YONEX ARMORTEC 30；ARMORTEC30；AT30MEGA,500,参考价，非实时成交价；本系统不做交易、库存或下单判断,YONEX-ARMORTEC-30,YONEX ARMORTEC 30,模糊对应-建议人工确认,已对应,NO,YES,非精确对应，保留人工复核,已标准化商品名；知识库价格不同步，需人工确认
58,ARMORTEC 300 AT300 AT系列,YONEX ARMORTEC 300,YONEX,尤尼克斯,ARMORTEC 300,YONEX ARMORTEC 300,ARMORTEC 300 AT300 AT系列；YONEX ARMORTEC 300；ARMORTEC300；AT300,780,参考价，非实时成交价；本系统不做交易、库存或下单判断,YONEX-ARMORTEC-300,YONEX ARMORTEC 300,模糊对应-建议人工确认,已对应,NO,YES,非精确对应，保留人工复核,已标准化商品名；知识库价格不同步，需人工确认
59,ARMORTEC 50 AT50 AT,YONEX ARMORTEC 50,YONEX,尤尼克斯,ARMORTEC 50,YONEX ARMORTEC 50,ARMORTEC 50 AT50 AT；YONEX ARMORTEC 50；ARMORTEC50；AT50,500,参考价，非实时成交价；本系统不做交易、库存或下单判断,YONEX-ARMORTEC-50,YONEX ARMORTEC 50,精确对应,已对应,YES,NO,安全自动同步,已自动标准化；参考价同步到知识库
60,ARMORTEC 500 AT500 AT系列,YONEX ARMORTEC 500,YONEX,尤尼克斯,ARMORTEC 500,YONEX ARMORTEC 500,ARMORTEC 500 AT500 AT系列；YONEX ARMORTEC 500；ARMORTEC500；AT500,980,参考价，非实时成交价；本系统不做交易、库存或下单判断,YONEX-ARMORTEC-500,YONEX ARMORTEC 500,模糊对应-建议人工确认,已对应,NO,YES,非精确对应，保留人工复核,已标准化商品名；知识库价格不同步，需人工确认
61,ARMORTEC 600 AT600 AT系列,YONEX ARMORTEC 600,YONEX,尤尼克斯,ARMORTEC 600,YONEX ARMORTEC 600,ARMORTEC 600 AT600 AT系列；YONEX ARMORTEC 600；ARMORTEC600；AT600,1200,参考价，非实时成交价；本系统不做交易、库存或下单判断,YONEX-ARMORTEC-600,YONEX ARMORTEC 600,模糊对应-建议人工确认,已对应,NO,YES,非精确对应，保留人工复核,已标准化商品名；知识库价格不同步，需人工确认
